Textbox70,Textbox69
Location:,12 - CD-CHARLESTON

MenuItemName,Cost1,AvgPrice1,Profit1,Textbox35,TargetMargin1,Textbox43,PriceNeeded1,Location,Cost,AvgPrice,Profit,ProfitPercent,TargetMargin,Variance,PriceNeeded
CD-CHARLESTON - KID CHICKEN WINGS,2.33,5.95,3.62,60.8 %,0.0 %,60.8 %,2.33,CD-CHARLESTON,2.33,5.95,3.62,60.8 %,0.0 %,60.8 %,2.33
CD-CHARLESTON - BBQ RIBS-1 RACK,2.66,19.95,17.29,86.6 %,0.0 %,86.6 %,2.66,CD-CHARLESTON,2.66,19.95,17.29,86.6 %,0.0 %,86.6 %,2.66
CD-CHARLESTON - CHICKEN STRIPS PLATTER,1.81,16.95,15.14,89.3 %,0.0 %,89.3 %,1.81,CD-CHARLESTON,1.81,16.95,15.14,89.3 %,0.0 %,89.3 %,1.81
CD-CHARLESTON - X-CHEF,1.58,3.75,2.17,58.0 %,0.0 %,58.0 %,1.58,CD-CHARLESTON,1.58,3.75,2.17,58.0 %,0.0 %,58.0 %,1.58
CD-CHARLESTON - KID MILK,0.38,0.00,-0.38,-37.6 %,0.0 %,-37.6 %,0.38,CD-CHARLESTON,0.38,0.00,-0.38,-37.6 %,0.0 %,-37.6 %,0.38
CD-CHARLESTON - HONEY BUTTER CROISSANT,0.27,1.20,0.93,77.7 %,0.0 %,77.7 %,0.27,CD-CHARLESTON,0.27,1.20,0.93,77.7 %,0.0 %,77.7 %,0.27
CD-CHARLESTON - KID CHEESEBURGER MEAL,1.81,5.95,4.14,69.5 %,0.0 %,69.5 %,1.81,CD-CHARLESTON,1.81,5.95,4.14,69.5 %,0.0 %,69.5 %,1.81
CD-CHARLESTON - R-XT,0.27,0.00,-0.27,-26.7 %,0.0 %,-26.7 %,0.27,CD-CHARLESTON,0.27,0.00,-0.27,-26.7 %,0.0 %,-26.7 %,0.27
CD-CHARLESTON - XTR R-TO GO,0.27,0.50,0.23,46.6 %,0.0 %,46.6 %,0.27,CD-CHARLESTON,0.27,0.50,0.23,46.6 %,0.0 %,46.6 %,0.27
CD-CHARLESTON - KID APPLE JUICE,0.54,0.00,-0.54,-54.2 %,0.0 %,-54.2 %,0.54,CD-CHARLESTON,0.54,0.00,-0.54,-54.2 %,0.0 %,-54.2 %,0.54
